# duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
2.309091,-0.064864,-0.000000,-0.000000,-1.565301,2.450995,-1.580098,0.469950,-0.053217,0.492837,0.000000,0.000000,-0.748724,0.910197,-0.514041,0.143524,-0.015713,0.097871,0.000000,0.000000,2.242713,-3.629213,2.336868,-0.692085,0.078124,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.309091,-0.774218,-0.303421,0.070340,-0.408999,0.580531,-0.365545,0.107803,-0.012154,-0.337714,-0.362173,0.187317,-0.043419,0.131600,-0.093143,0.026712,-0.002896,0.376472,-0.378274,-0.289104,0.639507,-0.804427,0.510214,-0.151088,0.016992,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.309091,-1.540823,-0.327290,0.020220,-0.085759,0.105639,-0.059321,0.015762,-0.001609,-0.047414,0.498141,0.028216,-0.097939,0.019464,-0.011648,0.005689,-0.000851,-0.495595,-0.055117,0.217523,0.117369,-0.132798,0.048749,-0.008282,0.000427,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.309091,-2.309486,-0.334476,0.005678,0.007319,-0.030394,0.028028,-0.010365,0.001366,0.400502,-0.297998,-0.209339,0.014473,0.127784,-0.105195,0.038679,-0.005297,0.300961,0.407658,-0.158726,-0.124223,0.129480,-0.080080,0.025325,-0.002964,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.309091,-3.078696,-0.337217,-0.002349,0.027825,-0.030043,0.008290,0.001547,-0.000696,-0.489355,-0.079013,0.219601,-0.160455,0.431542,-0.393576,0.146737,-0.019798,0.091988,-0.489228,-0.023109,0.088397,-0.121368,0.143929,-0.064204,0.009640,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.309091,-3.846351,-0.333430,-0.050002,-0.119383,0.454877,-0.311241,0.078581,-0.006300,0.268604,0.464699,-0.260881,-0.726802,1.805380,-1.380555,0.455233,-0.055645,-0.432683,0.240276,0.337002,0.424076,-1.487239,1.164726,-0.374494,0.043910,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.309091,-4.146212,-0.047938,0.180587,0.567871,-0.633245,0.255722,-0.041361,0.001672,1.228708,0.564694,-0.092577,-0.934583,1.120597,-0.556601,0.129997,-0.011751,-0.078923,-0.013122,-0.070664,0.266699,-0.324760,0.183708,-0.049594,0.005174,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.309091,-3.202518,0.516655,0.006956,-0.167212,0.294463,-0.211442,0.068921,-0.008439,1.444192,-0.009876,-0.008101,0.056341,-0.049667,0.008034,0.004884,-0.001377,-0.082007,0.002655,-0.010823,-0.001321,0.020939,-0.018122,0.005964,-0.000695,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.309091,-2.046542,0.512069,-0.006268,-0.147152,0.318970,-0.258187,0.091695,-0.011995,1.445526,0.012316,-0.033386,-0.141700,0.400779,-0.355244,0.132469,-0.017874,-0.083255,-0.001089,0.004616,0.003356,-0.014965,0.012707,-0.004384,0.000551,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.309091,-0.889240,0.526073,-0.042708,-0.324042,0.748132,-0.563834,0.172636,-0.018747,1.448800,0.043207,-0.080631,-0.547085,1.349869,-1.096041,0.371919,-0.045779,-0.082887,0.000837,0.003376,0.011226,-0.053128,0.057760,-0.024352,0.003570,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.309091,-0.029230,-0.052036,0.003536,0.379187,-0.673858,0.475131,-0.151189,0.018064,1.161176,-0.486103,-0.137712,-0.489834,1.659494,-1.585304,0.616820,-0.085172,-0.085086,-0.013364,0.029988,0.156289,-0.406548,0.342021,-0.121312,0.015608,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
